iso3,female,year,v09_type,v09_type_desc,median,score
AFG,1,1990,1,1: Foods & Beverages,32.36716298669913,1
AFG,1,1995,1,1: Foods & Beverages,150.00885430549303,1
AFG,1,2000,1,1: Foods & Beverages,60.828157607017076,1
AFG,1,2005,1,1: Foods & Beverages,104.59346079693928,1
AFG,1,2010,1,1: Foods & Beverages,33.33033342121643,1
AFG,1,2015,1,1: Foods & Beverages,72.80640771668234,1
AFG,1,2018,1,1: Foods & Beverages,2.9170800743945122,1
ARE,1,1990,1,1: Foods & Beverages,141.9501722995466,1
ARE,1,1995,1,1: Foods & Beverages,123.64486243893461,1
ARE,1,2000,1,1: Foods & Beverages,57.43084452419815,1
ARE,1,2005,1,1: Foods & Beverages,177.4448206166409,0
ARE,1,2010,1,1: Foods & Beverages,55.080259369647294,1
ARE,1,2015,1,1: Foods & Beverages,39.90831427295551,1
ARE,1,2018,1,1: Foods & Beverages,87.220471941965,1
BHR,1,1990,1,1: Foods & Beverages,42.449593808948805,1
BHR,1,1995,1,1: Foods & Beverages,56.533630785269295,1
BHR,1,2000,1,1: Foods & Beverages,25.419140272048338,1
BHR,1,2005,1,1: Foods & Beverages,71.4992699734519,1
BHR,1,2010,1,1: Foods & Beverages,59.4125964122278,1
BHR,1,2015,1,1: Foods & Beverages,73.442697531973,1
BHR,1,2018,1,1: Foods & Beverages,77.5346369564121,1
DJI,1,1990,1,1: Foods & Beverages,48.03518156642531,1
DJI,1,1995,1,1: Foods & Beverages,67.93996122415851,1
DJI,1,2000,1,1: Foods & Beverages,59.4536417733315,1
DJI,1,2005,1,1: Foods & Beverages,80.2500756949409,1
DJI,1,2010,1,1: Foods & Beverages,86.5927760795916,1
DJI,1,2015,1,1: Foods & Beverages,87.32415766768389,1
DJI,1,2018,1,1: Foods & Beverages,71.4249313312969,1
EGY,1,1990,1,1: Foods & Beverages,30.344963482321422,1
EGY,1,1995,1,1: Foods & Beverages,92.3406806226486,1
EGY,1,2000,1,1: Foods & Beverages,36.0220250084902,1
EGY,1,2005,1,1: Foods & Beverages,71.33267717606522,1
EGY,1,2010,1,1: Foods & Beverages,47.23759289848879,1
EGY,1,2015,1,1: Foods & Beverages,36.78396484365542,1
EGY,1,2018,1,1: Foods & Beverages,6.966118064560825,1
IRN,1,1990,1,1: Foods & Beverages,66.33954152745861,1
IRN,1,1995,1,1: Foods & Beverages,208.59280796536578,0
IRN,1,2000,1,1: Foods & Beverages,63.22181602221172,1
IRN,1,2005,1,1: Foods & Beverages,11.0936648056369,1
IRN,1,2010,1,1: Foods & Beverages,51.89480897756097,1
IRN,1,2015,1,1: Foods & Beverages,20.47696317129853,1
IRN,1,2018,1,1: Foods & Beverages,71.10711848588257,1
IRQ,1,1990,1,1: Foods & Beverages,120.9591254437733,1
IRQ,1,1995,1,1: Foods & Beverages,40.0530283509372,1
IRQ,1,2000,1,1: Foods & Beverages,61.030608178034,1
IRQ,1,2005,1,1: Foods & Beverages,119.43118710869629,1
IRQ,1,2010,1,1: Foods & Beverages,69.7580298141428,1
IRQ,1,2015,1,1: Foods & Beverages,123.52599925735049,1
IRQ,1,2018,1,1: Foods & Beverages,48.456823352019896,1
JOR,1,1990,1,1: Foods & Beverages,34.6030826710063,1
JOR,1,1995,1,1: Foods & Beverages,49.561204146599096,1
JOR,1,2000,1,1: Foods & Beverages,32.8392075074159,1
JOR,1,2005,1,1: Foods & Beverages,48.7871857051818,1
JOR,1,2010,1,1: Foods & Beverages,43.7051915027551,1
JOR,1,2015,1,1: Foods & Beverages,30.66489842186942,1
JOR,1,2018,1,1: Foods & Beverages,53.232497187859096,1
KWT,1,1990,1,1: Foods & Beverages,45.65146484379181,1
KWT,1,1995,1,1: Foods & Beverages,84.6055411046541,1
KWT,1,2000,1,1: Foods & Beverages,58.342897804525,1
KWT,1,2005,1,1: Foods & Beverages,60.05753665473909,1
KWT,1,2010,1,1: Foods & Beverages,56.8971090320062,1
KWT,1,2015,1,1: Foods & Beverages,82.8948342212565,1
KWT,1,2018,1,1: Foods & Beverages,63.041830692078904,1
LBN,1,1990,1,1: Foods & Beverages,72.13001044105879,1
LBN,1,1995,1,1: Foods & Beverages,42.50999586582537,1
LBN,1,2000,1,1: Foods & Beverages,30.7664397910925,1
LBN,1,2005,1,1: Foods & Beverages,122.57440598827218,1
LBN,1,2010,1,1: Foods & Beverages,45.014327187126,1
LBN,1,2015,1,1: Foods & Beverages,31.24548983966828,1
LBN,1,2018,1,1: Foods & Beverages,10.42440803869027,1
LBR,1,1990,1,1: Foods & Beverages,34.990485015006,1
LBR,1,1995,1,1: Foods & Beverages,62.7623620245766,1
LBR,1,2000,1,1: Foods & Beverages,48.812801397243994,1
LBR,1,2005,1,1: Foods & Beverages,98.833776974192,1
LBR,1,2010,1,1: Foods & Beverages,59.6090589957829,1
LBR,1,2015,1,1: Foods & Beverages,112.84343994517141,1
LBR,1,2018,1,1: Foods & Beverages,66.9502878922653,1
MAR,1,1990,1,1: Foods & Beverages,79.0252851278407,1
MAR,1,1995,1,1: Foods & Beverages,25.3465239849344,1
MAR,1,2000,1,1: Foods & Beverages,45.227389547430604,1
MAR,1,2005,1,1: Foods & Beverages,95.2146153410378,1
MAR,1,2010,1,1: Foods & Beverages,19.91175718386608,1
MAR,1,2015,1,1: Foods & Beverages,61.470377180391395,1
MAR,1,2018,1,1: Foods & Beverages,50.4210530085637,1
OMN,1,1990,1,1: Foods & Beverages,36.5372904515105,1
OMN,1,1995,1,1: Foods & Beverages,202.12716585397988,0
OMN,1,2000,1,1: Foods & Beverages,119.7640600920233,1
OMN,1,2005,1,1: Foods & Beverages,144.8454340170127,1
OMN,1,2010,1,1: Foods & Beverages,271.5508453662776,0
OMN,1,2015,1,1: Foods & Beverages,34.50260978433645,1
OMN,1,2018,1,1: Foods & Beverages,63.8114528594694,1
PAK,1,1990,1,1: Foods & Beverages,58.535335012312785,1
