iso3,1990,1995,2000,2005,2010,2015,2018
AFG,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ARE,2.0,3.0,2.0,3.0,4.0,5.0,5.0
BHR,4.0,4.0,4.0,4.0,5.0,4.0,4.0
DJI,5.0,5.0,5.0,5.0,5.0,5.0,5.0
EGY,2.0,2.0,3.0,3.0,3.0,1.0,1.0
IRN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
IRQ,5.0,4.0,4.0,5.0,3.0,3.0,4.0
JOR,3.0,3.0,3.0,3.0,3.0,3.0,3.0
KWT,5.0,5.0,5.0,5.0,4.0,5.0,5.0
LBN,5.0,5.0,4.0,3.0,3.0,3.0,3.0
LBR,2.0,3.0,2.0,2.0,2.0,2.0,1.0
MAR,5.0,3.0,3.0,5.0,5.0,4.0,4.0
OMN,4.0,5.0,5.0,5.0,5.0,5.0,5.0
PAK,2.0,2.0,2.0,1.0,2.0,2.0,2.0
PSE,4.0,4.0,4.0,4.0,4.0,4.0,4.0
QAT,4.0,4.0,4.0,5.0,5.0,4.0,4.0
SAU,4.0,4.0,5.0,5.0,5.0,5.0,5.0
SDN,3.0,3.0,3.0,3.0,4.0,3.0,3.0
SYR,4.0,4.0,4.0,4.0,4.0,4.0,4.0
TUN,2.0,2.0,1.0,2.0,2.0,2.0,2.0
YEM,5.0,4.0,5.0,5.0,5.0,4.0,3.0
